,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Romania,Romania,GPE,0.05263158,0.05263158,en,1.90000000,4050939-4,798549,A,46.0,25.0,EUROPE,Romania,WCE
Queensland,Queensland,GPE,0.24259259,0.66481481,en,1.80000000,4103475-2,2152274,A,-20.0,145.0,OCEANIA,Australia,NAU
Australia,Australia,GPE,0.25000000,0.75000000,en,1.00000000,4003900-6,2077456,A,-25.0,135.0,OCEANIA,Australia,CAU
Moldova,Moldova,GPE,-0.15000000,1.55000000,en,1.00000000,4039967-9,617790,A,47.25,28.58333,EUROPE,Moldova,WCE
Transylvania,Transylvania,GPE,-0.50000000,1.00000000,en,1.00000000,4054835-1,664661,L,46.5,25.0,EUROPE,Romania,WCE
Muntenia,Muntenia,GPE,-0.50000000,1.00000000,en,1.00000000,4086818-7,11789170,L,44.19793,27.33068,EUROPE-AFRICA,Romania,MED
the Republic of Moldova,the Republic of Moldova,GPE,0.00000000,0.25000000,en,1.00000000,4663455-1,617239,P,46.84275,29.6284,EUROPE,Moldova,WCE
Russia,Russia,GPE,-0.25000000,0.40000000,en,1.00000000,4076899-5,2017370,A,60.0,100.0,ASIA,Russia,ESB
Kiev,Kiev,GPE,-0.35000000,0.50000000,en,1.00000000,4030522-3,703448,P,50.45466,30.5238,EUROPE,Ukraine,WCE
Transnistria,Transnistria,GPE,0.00000000,0.00000000,en,1.00000000,4663455-1,617239,P,46.84274,29.62909,EUROPE,Moldova,WCE
Ukraine,Ukraine,GPE,0.00000000,0.00000000,en,1.00000000,4061496-7,690791,A,49.0,32.0,EUROPE,Ukraine,WCE
Cyprus,Cyprus,GPE,0.00000000,0.05000000,en,1.00000000,4241756-9,146669,A,35.0,33.0,EUROPE-AFRICA,Cyprus,MED
Nicosia,Nicosia,GPE,0.00000000,0.05000000,en,1.00000000,4075406-6,146268,P,35.17531,33.3642,EUROPE-AFRICA,Cyprus,MED
