,phrase,label,sentiment,subjectivity,language,count
Saturday,Saturday,DATE,,,en,11.000000000000002
Friday,Friday,DATE,,,en,10.400000000000002
Monday,Monday,DATE,,,en,8.8
morning,morning,TIME,,,en,8.500000000000002
winter,winter,DATE,,,en,7.700000000000002
Thursday,Thursday,DATE,,,en,6.4
night,night,TIME,,,en,6.200000000000001
noon,noon,TIME,,,en,5.5
Tuesday,Tuesday,DATE,,,en,5.300000000000001
Wednesday,Wednesday,DATE,,,en,5.300000000000001
2025,2025,DATE,,,en,5.2
15,15,CARDINAL,,,en,3.8
Thousands,Thousands,CARDINAL,,,en,3.6999999999999997
the night,the night,TIME,,,en,3.6
two,two,CARDINAL,,,en,3.1
evening,evening,TIME,,,en,2.8000000000000003
Four,Four,CARDINAL,,,en,2.8
3,3,CARDINAL,,,en,2.8
thousands,thousands,CARDINAL,,,en,2.8
CET Sud,CET Sud,FAC,,,en,2.8
Two,Two,CARDINAL,,,en,2.8
17%,17%,PERCENT,,,en,2.8
"Saturday, December 27","Saturday, December 27",DATE,,,en,2.8
American,American,NORP,,,en,2.8
eight,eight,CARDINAL,,,en,2.8
Russian,Russian,NORP,,,en,2.8
today,today,DATE,,,en,2.8
first,first,ORDINAL,,,en,2.7
Sunday,Sunday,DATE,,,en,2.7
more than half,more than half,CARDINAL,,,en,2.7
the last 24 hours,the last 24 hours,TIME,,,en,2.5
hundreds,hundreds,CARDINAL,,,en,2.2
four more days,four more days,DATE,,,en,1.9
the second year in a row,the second year in a row,DATE,,,en,1.9
a Yellow Code,a Yellow Code,LAW,,,en,1.9
Romanians,Romanians,NORP,,,en,1.9
annual,annual,DATE,,,en,1.9
Dozens,Dozens,CARDINAL,,,en,1.9
the last days,the last days,DATE,,,en,1.9
the next few days,the next few days,DATE,,,en,1.9
Romanian,Romanian,NORP,,,en,1.9
At least five,At least five,CARDINAL,,,en,1.9
mornings,mornings,TIME,,,en,1.9
Today,Today,DATE,,,en,1.9
"Almost 3,500","Almost 3,500",CARDINAL,,,en,1.9
