,phrase,label,sentiment,subjectivity,language,count
ANM,ANM,ORG,0.08877984389348026,0.21617883379247013,en,21.999999999999996
Capital,Capital,ORG,0.03717784153830665,0.25033348434511227,en,17.200000000000003
The National Meteorological Administration,The National Meteorological Administration,ORG,0.0866759259259259,0.4525707070707069,en,15.000000000000005
Trump,Trump,ORG,0.12550200803212846,0.35040160642570267,en,8.300000000000002
INCDFP,INCDFP,ORG,0.0,0.0,en,6.4
the National Research and Development Institute for Earth Physics,the National Research and Development Institute for Earth Physics,ORG,0.0,0.0,en,6.4
Digi24,Digi24,ORG,0.15965691396725878,0.2183908045977012,en,5.8
Bucegi,Bucegi,ORG,0.0791818181818182,0.3108181818181818,en,5.5
AFP,AFP,ORG,0.15432098765432103,0.3549382716049383,en,5.3999999999999995
MAE,MAE,ORG,-0.011093073593073596,0.14908008658008662,en,4.3999999999999995
the European Union,the European Union,ORG,0.07916666666666668,0.27083333333333337,en,3.9999999999999996
The National Institute of Hydrology and Water Management,The National Institute of Hydrology and Water Management,ORG,-0.02252252252252252,0.2927927927927928,en,3.6999999999999997
the Minister of Energy,the Minister of Energy,ORG,0.04411764705882353,0.3178571428571429,en,3.3999999999999995
INHGA,INHGA,ORG,0.0,0.35714285714285715,en,2.8
Mehedinți,Mehedinți,ORG,-0.044642857142857144,0.13392857142857142,en,2.8
the National Meteorological Administration,the National Meteorological Administration,ORG,-0.125,0.16517857142857145,en,2.8
Maramureș,Maramureș,ORG,-0.10208333333333333,0.4449404761904762,en,2.8
Facebook,Facebook,ORG,0.4285714285714286,0.42857142857142866,en,2.8
BBC,BBC,ORG,0.005952380952380951,0.47321428571428575,en,2.8
Congress,Congress,ORG,0.016483516483516487,0.14652014652014653,en,2.6
EU,EU,ORG,0.0,0.0,en,2.1999999999999997
Reuters,Reuters,ORG,0.1880952380952381,0.6071428571428572,en,2.1
the Ministerial Committee for Emergency Situations,the Ministerial Committee for Emergency Situations,ORG,0.14619883040935672,0.216374269005848,en,1.9
Easter,Easter,ORG,0.0,0.0,en,1.9
