,phrase,label,sentiment,subjectivity,language,count
Bogdan Ivan,Bogdan Ivan,PERSON,0.022849462365591395,0.43058115719406037,en,6.2
Donald Trump,Donald Trump,PERSON,-0.05433455433455435,0.4951770451770452,en,3.9
Ciprian Ciucu,Ciprian Ciucu,PERSON,0.0059523809523809555,0.08630952380952382,en,2.8
Storm Kristin,Storm Kristin,PERSON,-0.053571428571428575,0.11607142857142859,en,2.8
Bâlea Lac,Bâlea Lac,PERSON,0.30867346938775514,0.7959183673469389,en,2.8
Storm Goretti,Storm Goretti,PERSON,0.32936507936507936,0.5114087301587302,en,2.4
Nicolae Ceaușescu,Nicolae Ceaușescu,PERSON,0.13157894736842105,0.17543859649122806,en,1.9
Jair Bolsonaro,Jair Bolsonaro,PERSON,-0.030701754385964907,0.4210526315789474,en,1.9
Raed Arafat,Raed Arafat,PERSON,0.2631578947368421,0.2631578947368421,en,1.9
wind intensifications,wind intensifications,PERSON,0.10645933014354067,0.5478468899521531,en,1.9
Storm Therese,Storm Therese,PERSON,0.11403508771929824,0.19298245614035087,en,1.9
Oana Pellea,Oana Pellea,PERSON,0.0,0.0,en,1.7
Valea Jiului,Valea Jiului,PERSON,0.676470588235294,0.9411764705882354,en,1.7
Ion Duvac,Ion Duvac,PERSON,0.16176470588235295,0.338235294117647,en,1.7
Sorin Grindeanu,Sorin Grindeanu,PERSON,0.1736111111111111,0.2013888888888889,en,1.6
Ovidiu Iuliu,Ovidiu Iuliu,PERSON,0.6538461538461539,0.6634615384615384,en,1.3
Vladimir Plahotniuc,Vladimir Plahotniuc,PERSON,0.5528846153846154,1.2067307692307692,en,1.3
Ursula von der Leyen,Ursula von der Leyen,PERSON,-0.04807692307692307,0.04807692307692307,en,1.3
Mihail Kogălniceanu,Mihail Kogălniceanu,PERSON,-0.125,0.3846153846153846,en,1.3
Igor Dodon,Igor Dodon,PERSON,0.5528846153846154,1.2067307692307692,en,1.3
Mugur Isărescu,Mugur Isărescu,PERSON,0.11538461538461539,0.5576923076923077,en,1.3
Florinela Georgescu,Florinela Georgescu,PERSON,0.0,0.09615384615384615,en,1.3
Octavian Ursulescu,Octavian Ursulescu,PERSON,0.5384615384615384,0.6538461538461539,en,1.3
Ionuț Iancu,Ionuț Iancu,PERSON,0.11538461538461538,0.23076923076923075,en,1.3
Maria Coman,Maria Coman,PERSON,0.23878205128205132,0.4262820512820512,en,1.3
Adrian Marinescu,Adrian Marinescu,PERSON,0.08333333333333334,0.8333333333333334,en,1.2
Xi Jinping,Xi Jinping,PERSON,-0.1515151515151515,0.38181818181818183,en,1.1
Lee Jae Myung,Lee Jae Myung,PERSON,-0.1515151515151515,0.38181818181818183,en,1.1
Amanda Nguyen,Amanda Nguyen,PERSON,0.07575757575757575,0.3737373737373737,en,1.1
Eugen Rădulescu,Eugen Rădulescu,PERSON,0.021666666666666657,0.265,en,1.0
Robert Manta,Robert Manta,PERSON,0.0,0.0,en,1.0
Greg Daily,Greg Daily,PERSON,0.02777777777777779,0.65,en,1.0
Prince William,Prince William,PERSON,0.0,0.0,en,1.0
Andrew Mountbatten-Windsor,Andrew Mountbatten-Windsor,PERSON,0.0,0.03333333333333333,en,1.0
Oskar von Miller,Oskar von Miller,PERSON,0.1,0.15,en,1.0
